tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		4.7	017.9	-19.8	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:04:33	8.812e-06	2.33e-07	2.118e-02	7.10e-09	5.09e-09	1.73e-08	8	273	D6A-1465a_LP-DIR-AF-51	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.4.0	D6A-1465a	u	2.500e-02	0	0.00	0.00	14	273
	This study		4.7	010.9	-24.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:07:59	8.699e-06	2.30e-07	2.091e-02	6.98e-09	5.24e-09	1.68e-08	8	273	D6A-1465a_LP-DIR-AF-52	LT-AF-Z:LP-DIR-AF	g	51	pmagpy-4.4.0	D6A-1465a	u	2.750e-02	0	0.00	0.00	15	273
	This study		4.9	014.3	-37.0	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:11:26	8.321e-06	2.20e-07	2.000e-02	7.81e-09	5.48e-09	1.73e-08	8	273	D6A-1465a_LP-DIR-AF-53	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.4.0	D6A-1465a	u	3.000e-02	0	0.00	0.00	16	273
	This study		4.3	006.4	-38.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:14:52	9.380e-06	2.48e-07	2.255e-02	6.99e-09	5.05e-09	1.75e-08	8	273	D6A-1465a_LP-DIR-AF-54	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.4.0	D6A-1465a	u	3.500e-02	0	0.00	0.00	17	273
	This study		3.8	000.6	-38.7	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:18:18	1.048e-05	2.77e-07	2.518e-02	7.24e-09	5.09e-09	1.71e-08	8	273	D6A-1465a_LP-DIR-AF-55	LT-AF-Z:LP-DIR-AF	g	54	pmagpy-4.4.0	D6A-1465a	u	4.000e-02	0	0.00	0.00	18	273
	This study		3.3	354.9	-40.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:21:44	1.150e-05	3.04e-07	2.764e-02	6.67e-09	4.86e-09	1.69e-08	8	273	D6A-1465a_LP-DIR-AF-56	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.4.0	D6A-1465a	u	4.500e-02	0	0.00	0.00	19	273
	This study		3.3	354.7	-43.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:25:10	1.157e-05	3.06e-07	2.782e-02	6.73e-09	4.95e-09	1.70e-08	8	273	D6A-1465a_LP-DIR-AF-57	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.4.0	D6A-1465a	u	5.000e-02	0	0.00	0.00	20	273
	This study		3.3	349.9	-47.1	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:28:37	1.138e-05	3.01e-07	2.736e-02	6.87e-09	4.64e-09	1.69e-08	8	273	D6A-1465a_LP-DIR-AF-58	LT-AF-Z:LP-DIR-AF	g	57	pmagpy-4.4.0	D6A-1465a	u	5.500e-02	0	0.00	0.00	21	273
	This study		3.2	342.4	-50.6	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:32:03	1.157e-05	3.06e-07	2.782e-02	7.40e-09	5.16e-09	1.67e-08	8	273	D6A-1465a_LP-DIR-AF-59	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.4.0	D6A-1465a	u	6.000e-02	0	0.00	0.00	22	273
	This study		2.6	342.0	-50.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:35:29	1.328e-05	3.51e-07	3.191e-02	6.50e-09	4.80e-09	1.64e-08	8	273	D6A-1465a_LP-DIR-AF-60	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.4.0	D6A-1465a	u	6.500e-02	0	0.00	0.00	23	273
	This study		2.7	340.3	-52.6	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:38:55	1.278e-05	3.38e-07	3.073e-02	6.98e-09	4.97e-09	1.62e-08	8	273	D6A-1465a_LP-DIR-AF-61	LT-AF-Z:LP-DIR-AF	g	60	pmagpy-4.4.0	D6A-1465a	u	7.000e-02	0	0.00	0.00	24	273
	This study		2.6	339.6	-50.7	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:42:21	1.369e-05	3.62e-07	3.291e-02	7.27e-09	5.14e-09	1.62e-08	8	273	D6A-1465a_LP-DIR-AF-62	LT-AF-Z:LP-DIR-AF	g	61	pmagpy-4.4.0	D6A-1465a	u	7.500e-02	0	0.00	0.00	25	273
	This study		2.6	333.9	-52.8	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:45:47	1.369e-05	3.62e-07	3.291e-02	7.08e-09	4.95e-09	1.68e-08	8	273	D6A-1465a_LP-DIR-AF-63	LT-AF-Z:LP-DIR-AF	g	62	pmagpy-4.4.0	D6A-1465a	u	8.000e-02	0	0.00	0.00	26	273
	This study		2.6	332.8	-52.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:49:15	1.377e-05	3.64e-07	3.309e-02	7.15e-09	4.91e-09	1.69e-08	8	273	D6A-1465a_LP-DIR-AF-64	LT-AF-Z:LP-DIR-AF	g	63	pmagpy-4.4.0	D6A-1465a	u	8.500e-02	0	0.00	0.00	27	273
	This study		2.4	321.4	-52.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:52:42	1.456e-05	3.85e-07	3.500e-02	7.30e-09	5.06e-09	1.64e-08	8	273	D6A-1465a_LP-DIR-AF-65	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.4.0	D6A-1465a	u	9.000e-02	0	0.00	0.00	28	273
	This study		2.3	323.7	-54.8	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:56:09	1.517e-05	4.01e-07	3.645e-02	7.44e-09	4.94e-09	1.67e-08	8	273	D6A-1465a_LP-DIR-AF-66	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.4.0	D6A-1465a	u	9.500e-02	0	0.00	0.00	29	273
	This study		2.3	320.7	-53.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:59:37	1.509e-05	3.99e-07	3.627e-02	7.23e-09	5.46e-09	1.64e-08	8	273	D6A-1465a_LP-DIR-AF-67	LT-AF-Z:LP-DIR-AF	g	66	pmagpy-4.4.0	D6A-1465a	u	1.000e-01	0	0.00	0.00	30	273
	This study		2.1	322.0	-58.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 18:03:04	1.619e-05	4.28e-07	3.891e-02	7.34e-09	5.31e-09	1.65e-08	8	273	D6A-1465a_LP-DIR-AF-68	LT-AF-Z:LP-DIR-AF	g	67	pmagpy-4.4.0	D6A-1465a	u	1.050e-01	0	0.00	0.00	31	273
	This study		2.2	324.9	-58.6	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 18:06:35	1.558e-05	4.12e-07	3.745e-02	7.56e-09	5.41e-09	1.63e-08	8	273	D6A-1465a_LP-DIR-AF-69	LT-AF-Z:LP-DIR-AF	g	68	pmagpy-4.4.0	D6A-1465a	u	1.100e-01	0	0.00	0.00	32	273
	This study		2.1	322.8	-57.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 18:10:03	1.619e-05	4.28e-07	3.891e-02	7.52e-09	5.20e-09	1.62e-08	8	273	D6A-1465a_LP-DIR-AF-70	LT-AF-Z:LP-DIR-AF	g	69	pmagpy-4.4.0	D6A-1465a	u	1.150e-01	0	0.00	0.00	33	273
	This study		2.1	325.7	-56.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 18:13:31	1.607e-05	4.25e-07	3.864e-02	7.35e-09	5.02e-09	1.65e-08	8	273	D6A-1465a_LP-DIR-AF-71	LT-AF-Z:LP-DIR-AF	g	70	pmagpy-4.4.0	D6A-1465a	u	1.200e-01	0	0.00	0.00	34	273
